prob,pred,true
0.024748551259011674,0,0
0.9928726719703829,1,1
0.007230968567792236,0,0
0.20467697446278763,0,0
0.7411639561241737,1,1
0.8462152027688058,1,1
0.9999959814065594,1,1
0.9840460332165879,1,1
0.09987070428376883,0,0
0.571546470992853,1,1
0.40042646091948775,0,1
0.9171164235844671,1,1
0.9986788390298253,1,1
0.08911317510770349,0,0
0.9999269447539496,1,1
0.9999980566950769,1,1
0.02105443220083028,0,0
0.9998746583921453,1,1
0.019115578674764235,0,0
0.9854153339608491,1,1
0.014698822348417547,0,0
0.9825501878852746,1,1
0.999431635977698,1,1
0.9991250158543172,1,1
0.5480145436745512,1,1
0.006599180915095809,0,0
0.5227438449571418,1,0
0.07064785448661812,0,1
0.999999989110299,1,1
0.9871471872709449,1,1
0.0075203744608047995,0,0
0.0029694465527933416,0,0
0.006310450520055535,0,0
0.018455950693629476,0,0
0.999998149170961,1,1
0.4867705666538789,0,1
0.9975761429284823,1,1
0.9997376240345596,1,1
0.512252117202396,1,0
0.9845762560912551,1,1
0.9241228654162693,1,1
0.9010144529408048,1,1
0.011524931055113713,0,0
0.9999827593287508,1,1
0.18053653628224775,0,0
0.9999991417602763,1,1
0.3009946869941112,0,0
0.9999928399745108,1,1
0.9901112046293502,1,1
0.9766156669026177,1,1
0.00805455567308162,0,0
0.9926062108441794,1,1
0.9681949917342628,1,1
0.9959070765949692,1,1
0.0025996067780153396,0,0
0.007471395098206245,0,0
0.9998056490365469,1,1
0.14699062141992994,0,0
0.005414677483603901,0,0
0.9386719354239903,1,1
0.9904480319536512,1,0
0.002937612405203817,0,0
0.019768314346425786,0,0
0.1237105883069301,0,0
0.9431950144024461,1,1
0.02331934534607583,0,0
0.016719639543033828,0,0
0.011795098017813314,0,0
0.0505011228285918,0,0
0.9999868746578413,1,1
0.9235180501805438,1,0
0.005845431553518187,0,0
0.9999537613370018,1,1
0.9787011014784616,1,1
0.024001059629091277,0,0
0.00016893624692949702,0,0
0.9995256150780255,1,1
0.998869525386723,1,1
0.9986584951352436,1,1
0.012389017879777016,0,0
0.999997802912016,1,1
0.9815114167105342,1,1
0.18367599512926497,0,0
0.03832095280434266,0,0
0.044130223146840786,0,0
0.03878769266079622,0,0
0.9666774445964695,1,1
0.9999143629946369,1,1
0.9999875505179967,1,1
0.804966174057638,1,1
0.8801058834790233,1,1
0.00045348949865907937,0,0
0.0008638500516055998,0,0
0.9985161532406573,1,1
0.1523587150402996,0,0
0.29216139511292044,0,1
0.009795921114451664,0,0
0.9999260107055183,1,1
0.10401258266807117,0,0
0.9986057721498739,1,1
0.027928723428987803,0,0
0.9999866714973945,1,1
0.051601886054339824,0,0
0.9998738248133974,1,1
0.9999980903004538,1,1
0.09235854890658723,0,0
0.9999884967808271,1,1
0.9476633601621391,1,1
0.041119375375987734,0,0
0.997249048195243,1,1
0.9918667157343691,1,1
0.11276009213249667,0,0
0.43237632730770936,0,1
0.013487341140508766,0,0
0.16438420253182495,0,0
0.5999555794183965,1,1
0.10240523443064355,0,0
0.9999216879451697,1,1
0.6953343490041196,1,1
0.9999126474697783,1,1
0.9698922129352227,1,1
0.1420082422522832,0,0
